  [Fold 1 | Ep  73/120] loss=0.020 train_acc=85.3% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=21/30 (15s)
  [Fold 1 | Ep  74/120] loss=0.019 train_acc=84.6% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=22/30 (15s)
  [Fold 1 | Ep  75/120] loss=0.020 train_acc=85.0% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=23/30 (16s)
  [Fold 1 | Ep  76/120] loss=0.023 train_acc=85.3% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=24/30 (16s)
  [Fold 1 | Ep  77/120] loss=0.018 train_acc=85.9% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=25/30 (16s)
  [Fold 1 | Ep  78/120] loss=0.021 train_acc=83.5% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=26/30 (17s)
  [Fold 1 | Ep  79/120] loss=0.018 train_acc=88.3% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=27/30 (16s)
  [Fold 1 | Ep  80/120] loss=0.020 train_acc=86.1% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=28/30 (20s)
  [Fold 1 | Ep  81/120] loss=0.019 train_acc=85.0% val_acc=90.0% bal_acc=93.8% NOR=100.0% DIS=87.5% pat=29/30 (279s)
  Early stopping at epoch 81
